batch,episode_start,epsilon,mean,std,min,max,p25,p50,p75
0,0,1,-4.89054,0.11465,-5.28266,-4.40587,-4.96211,-4.89399,-4.81964
1,512,0.99999,-4.89247,0.115157,-5.23304,-4.58085,-4.96947,-4.89603,-4.81895
2,1024,0.99998,-4.88982,0.115746,-5.21917,-4.35955,-4.965,-4.89534,-4.82199
3,1536,0.99997,-4.89142,0.117699,-5.23267,-4.40002,-4.97006,-4.90159,-4.81264
4,2048,0.999959,-4.88868,0.119348,-5.34127,-4.29096,-4.96592,-4.89549,-4.81441
5,2560,0.999949,-4.89212,0.121063,-5.31197,-4.33008,-4.96899,-4.89288,-4.82158
6,3072,0.999939,-4.89703,0.114765,-5.26338,-4.46581,-4.97025,-4.90168,-4.8248
7,3584,0.999929,-4.89158,0.11651,-5.31929,-4.48593,-4.97036,-4.89474,-4.82142
8,4096,0.999919,-4.88679,0.113962,-5.25776,-4.53049,-4.9614,-4.89116,-4.81503
9,4608,0.999909,-4.89268,0.116189,-5.28045,-4.522,-4.96665,-4.89697,-4.81947
10,5120,0.999899,-4.88946,0.119536,-5.23029,-4.52254,-4.96928,-4.88937,-4.81472
11,5632,0.999888,-4.88961,0.113741,-5.35649,-4.51788,-4.96931,-4.89121,-4.81292
12,6144,0.999878,-4.88944,0.121109,-5.25092,-4.18917,-4.96811,-4.895,-4.81478
13,6656,0.999868,-4.89115,0.117808,-5.38767,-4.52119,-4.9582,-4.8974,-4.82186
14,7168,0.999858,-4.89221,0.114746,-5.17046,-4.5315,-4.96882,-4.90141,-4.82143
15,7680,0.999848,-4.89688,0.121427,-5.31711,-4.44672,-4.97426,-4.90636,-4.82421
16,8192,0.999838,-4.89374,0.11661,-5.26401,-4.50633,-4.96579,-4.90052,-4.8177
17,8704,0.999828,-4.88929,0.118614,-5.27289,-4.41472,-4.96587,-4.89658,-4.80819
18,9216,0.999818,-4.89475,0.113265,-5.4072,-4.60064,-4.96472,-4.89132,-4.81753
19,9728,0.999807,-4.88731,0.121072,-5.27123,-4.40034,-4.96376,-4.89251,-4.8188
20,10240,0.999797,-4.88892,0.120862,-5.2983,-4.41733,-4.97145,-4.89424,-4.81502
21,10752,0.999787,-4.89092,0.127134,-5.43282,-4.38771,-4.96791,-4.89655,-4.82215
22,11264,0.999777,-4.89359,0.113899,-5.16814,-4.43931,-4.97342,-4.90334,-4.83256
23,11776,0.999767,-4.8897,0.120695,-5.33905,-4.49925,-4.96935,-4.8993,-4.80729
24,12288,0.999757,-4.89988,0.114471,-5.52686,-4.48836,-4.97122,-4.90101,-4.83123
25,12800,0.999747,-4.89458,0.11701,-5.20295,-4.49297,-4.9742,-4.89256,-4.82288
26,13312,0.999736,-4.88937,0.114915,-5.20428,-4.47652,-4.96681,-4.89471,-4.82431
27,13824,0.999726,-4.89236,0.114122,-5.31929,-4.45656,-4.97048,-4.89323,-4.82348
28,14336,0.999716,-4.88231,0.115115,-5.32418,-4.48017,-4.96057,-4.88059,-4.80882
29,14848,0.999706,-4.8966,0.111048,-5.26313,-4.3516,-4.96868,-4.90003,-4.8238
30,15360,0.999696,-4.88977,0.121052,-5.35609,-4.34788,-4.96556,-4.89334,-4.82166
31,15872,0.999686,-4.88732,0.124339,-5.3324,-4.32533,-4.96933,-4.89884,-4.8045
32,16384,0.999676,-4.90092,0.123854,-5.28266,-4.54405,-4.9763,-4.90082,-4.82779
33,16896,0.999665,-4.88988,0.11723,-5.37057,-4.48683,-4.96489,-4.89616,-4.82108
34,17408,0.999655,-4.89618,0.118403,-5.3352,-4.48613,-4.96973,-4.90127,-4.82142
35,17920,0.999645,-4.89075,0.121712,-5.29487,-4.45541,-4.96776,-4.8992,-4.81873
36,18432,0.999635,-4.89441,0.115492,-5.25824,-4.42503,-4.96966,-4.89532,-4.82348
37,18944,0.999625,-4.89533,0.107786,-5.15163,-4.42939,-4.96528,-4.90216,-4.82594
38,19456,0.999615,-4.89266,0.118599,-5.39358,-4.44943,-4.96821,-4.90138,-4.82576
39,19968,0.999605,-4.88843,0.117997,-5.34066,-4.47115,-4.95984,-4.89354,-4.81574
40,20480,0.999594,-4.89202,0.112189,-5.25092,-4.56826,-4.97093,-4.89142,-4.82132
41,20992,0.999584,-4.88305,0.115642,-5.30647,-4.32267,-4.95743,-4.88676,-4.81258
42,21504,0.999574,-4.8787,0.116678,-5.23475,-4.40988,-4.95182,-4.88266,-4.80487
43,22016,0.999564,-4.89273,0.114703,-5.27704,-4.50909,-4.9725,-4.90021,-4.81832
44,22528,0.999554,-4.88834,0.112058,-5.28259,-4.37076,-4.96541,-4.88673,-4.82409
45,23040,0.999544,-4.8888,0.115016,-5.3022,-4.55604,-4.96547,-4.89283,-4.81664
