batch,episode_start,epsilon,mean,std,min,max,p25,p50,p75
0,0,1,-4.6308,0.323493,-5.7402,-3.82629,-4.82874,-4.61045,-4.42479
1,512,0.999949,-4.58398,0.304259,-5.44118,-3.53033,-4.78217,-4.58441,-4.39017
2,1024,0.999899,-4.58737,0.329464,-5.90411,-3.75123,-4.81189,-4.59605,-4.36382
3,1536,0.999848,-4.61572,0.332892,-5.78431,-3.60784,-4.83632,-4.6132,-4.38588
4,2048,0.999797,-4.60226,0.32986,-5.95098,-3.61826,-4.80806,-4.59069,-4.39928
5,2560,0.999747,-4.58844,0.319103,-5.91177,-3.28768,-4.80561,-4.58456,-4.3835
6,3072,0.999696,-4.60435,0.337814,-5.79412,-3.66881,-4.80231,-4.59804,-4.3822
7,3584,0.999645,-4.58636,0.340701,-6.06863,-3.74786,-4.78317,-4.56036,-4.34658
8,4096,0.999594,-4.59412,0.310933,-5.65686,-3.59957,-4.78991,-4.58425,-4.39821
9,4608,0.999544,-4.59935,0.325342,-5.60662,-3.59406,-4.82108,-4.59207,-4.38741
10,5120,0.999493,-4.60494,0.332258,-5.78431,-3.68168,-4.80231,-4.59743,-4.38948
11,5632,0.999442,-4.57696,0.326504,-5.73529,-3.10447,-4.78248,-4.56357,-4.36964
12,6144,0.999392,-4.57366,0.316915,-5.69608,-3.63848,-4.77305,-4.56097,-4.35869
13,6656,0.999341,-4.60942,0.322767,-5.58824,-3.81893,-4.82276,-4.60861,-4.39323
14,7168,0.99929,-4.59296,0.317334,-6.12745,-3.74847,-4.79887,-4.58609,-4.3701
15,7680,0.99924,-4.59811,0.309914,-5.63726,-3.63542,-4.80331,-4.59237,-4.3943
16,8192,0.999189,-4.58193,0.333514,-5.91177,-3.572,-4.79695,-4.57874,-4.34949
17,8704,0.999138,-4.568,0.325212,-5.97059,-3.06587,-4.78776,-4.57399,-4.33678
18,9216,0.999088,-4.56788,0.304598,-5.58824,-3.67555,-4.74533,-4.56756,-4.36635
19,9728,0.999037,-4.59993,0.35997,-6.14706,-3.66207,-4.81947,-4.56158,-4.32828
20,10240,0.998986,-4.60071,0.326162,-5.77451,-3.82353,-4.79404,-4.58624,-4.38281
21,10752,0.998936,-4.5739,0.326632,-5.63726,-3.57782,-4.7598,-4.55944,-4.35302
22,11264,0.998885,-4.59939,0.319723,-5.54779,-3.57598,-4.8171,-4.59528,-4.39805
23,11776,0.998834,-4.55183,0.336593,-5.85386,-3.45527,-4.77298,-4.53033,-4.34406
24,12288,0.998783,-4.59818,0.335932,-5.9902,-3.56587,-4.81373,-4.58885,-4.38388
25,12800,0.998733,-4.5695,0.325662,-5.51961,-3.61336,-4.78876,-4.57353,-4.36129
26,13312,0.998682,-4.59692,0.331295,-5.67647,-3.46109,-4.79144,-4.5674,-4.38258
27,13824,0.998631,-4.57923,0.327308,-6.06863,-3.38297,-4.78623,-4.5697,-4.35547
28,14336,0.998581,-4.58118,0.333503,-5.95098,-3.55086,-4.78332,-4.59069,-4.35118
