algorithm,bits,n_steps,max_reward,min_reward,mean_reward,std_reward,last_reward,episodes_total,conv_ep,conv_batch,recompensa_promedio_final,recompensa_acumulada_total,mae,nmed,error_rate,peak_error,terms,height_inferido,verilog_src
montecarlo_cuda,2,,-0.0,-9.66667,-2.2977070007516103,1.0231121433384192,-0.0652669,50000384,6690820,13068,-0.058891600999999995,-114886232.35706879,0.0,0.0,0.0,0.0,4.0,2,out/montecarlo_cuda/bits2/best_multiplier_cuda.v
montecarlo_cuda,4,,-0.220588,-8.22549,-3.510446106392783,0.6161352019629929,-3.11715,50000384,47613400,92995,-4.1798241,-175523653.330944,5.625,0.022058823529411766,92.96875,22.0,20.0,4,out/montecarlo_cuda/bits4/best_multiplier_cuda.v
montecarlo_cuda,6,,-1.28728,-7.15507,-4.435511407681989,0.25627708991572545,-2.98639,50000384,46811100,91428,-2.9850657000000003,-221777273.62048003,508.791015625,0.12424689026251526,99.9755859375,1514.0,51.0,6,out/montecarlo_cuda/bits6/best_multiplier_cuda.v
qlearning_cuda,2,,-0.0,-9.66667,-2.5787105755757396,0.9546555191332932,-0.867676,50000384,11431900,22328,-0.80772327,-128936519.00364798,0.0,0.0,0.0,0.0,4.0,2,out/qlearning_cuda/bits2/best_multiplier_cuda.v
qlearning_cuda,4,,-0.636336,-8.38235,-3.3833689642319547,0.6540508546545563,-0.802423,50000384,46153200,90143,-0.7888545600000001,-169169747.42528,16.2265625,0.06363357843137254,94.53125,64.0,8.0,4,out/qlearning_cuda/bits4/best_multiplier_cuda.v
qlearning_cuda,6,,-0.632843,-8.06899,-3.8879486458728,0.4903720923948104,-0.767748,50000384,46522900,90865,-0.7675929600000001,-194398925.26591998,259.1494140625,0.06328435019841269,99.70703125,1106.0,16.0,6,out/qlearning_cuda/bits6/best_multiplier_cuda.v
sarsa_cuda,2,1,-0.0,-9.66667,-2.5799002123657293,0.9525984682920835,-0.877441,50000384,11437600,22339,-0.87198084,-128996001.299968,0.0,0.0,0.0,0.0,4.0,2,out/sarsa_cuda/bits2_nsteps1/best_multiplier_cuda.v
sarsa_cuda,2,20,-0.0,-9.66667,-2.2468149845940384,1.0472923468056565,-0.0641276,50000384,9248260,18063,-0.059129236,-112341612.00665599,0.0,0.0,0.0,0.0,4.0,2,out/sarsa_cuda/bits2_nsteps20/best_multiplier_cuda.v
sarsa_cuda,2,30,-0.0,-9.66667,-2.2468149845940384,1.0472923468056565,-0.0641276,50000384,9248260,18063,-0.059129236,-112341612.00665599,0.0,0.0,0.0,0.0,4.0,2,out/sarsa_cuda/bits2_nsteps30/best_multiplier_cuda.v
sarsa_cuda,4,1,-0.634804,-8.13726,-2.9346011886295917,0.6770843624010567,-0.779456,50000384,42841600,83675,-0.7638993399999999,-146731186.318336,16.1875,0.06348039215686274,91.796875,64.0,10.0,3,out/sarsa_cuda/bits4_nsteps1/best_multiplier_cuda.v
sarsa_cuda,4,20,-0.0453431,-8.61765,-2.7590453339033556,0.6967094232569093,-0.194958,50000384,49988100,97633,-0.15573565,-137953326.168576,1.15625,0.0045343137254901964,57.8125,5.0,15.0,3,out/sarsa_cuda/bits4_nsteps20/best_multiplier_cuda.v
sarsa_cuda,4,30,-0.0392157,-8.64706,-2.756779324001352,0.6977096126954546,-0.154627,50000384,49512400,96704,-0.17850847000000003,-137840024.803328,1.0,0.00392156862745098,57.8125,4.0,15.0,3,out/sarsa_cuda/bits4_nsteps30/best_multiplier_cuda.v
sarsa_cuda,6,1,-0.634047,-8.11172,-3.8966639867802613,0.49220622143829934,-0.768188,50000384,48531500,94788,-0.76817446,-194834695.65798402,259.64208984375,0.0634046617445055,99.8291015625,1027.0,16.0,6,out/sarsa_cuda/bits6_nsteps1/best_multiplier_cuda.v
sarsa_cuda,6,20,-0.624115,-8.06838,-4.116944832710405,0.41647077222318934,-0.785653,50000384,49998300,97653,-0.8027519700000001,-205848822.54233602,255.5751953125,0.062411525106837604,99.8291015625,1033.0,34.0,6,out/sarsa_cuda/bits6_nsteps20/best_multiplier_cuda.v
sarsa_cuda,6,30,-0.626364,-8.20391,-4.135480761942309,0.4049486074526148,-0.798848,50000384,49880100,97422,-0.81181001,-206775626.12172797,256.49609375,0.06263640873015873,99.9267578125,1047.0,28.0,6,out/sarsa_cuda/bits6_nsteps30/best_multiplier_cuda.v
