batch,episode_start,epsilon,mean,std,min,max,p25,p50,p75
0,0,1,-4.89054,0.11465,-5.28266,-4.40587,-4.96211,-4.89399,-4.81964
1,512,0.99999,-4.89247,0.115157,-5.23304,-4.58085,-4.96947,-4.89603,-4.81895
2,1024,0.99998,-4.88982,0.115746,-5.21917,-4.35955,-4.965,-4.89534,-4.82199
3,1536,0.99997,-4.89142,0.117699,-5.23267,-4.40002,-4.97006,-4.90159,-4.81264
4,2048,0.999959,-4.88868,0.119348,-5.34127,-4.29096,-4.96592,-4.89549,-4.81441
5,2560,0.999949,-4.89212,0.120991,-5.3022,-4.33008,-4.96899,-4.89288,-4.82158
6,3072,0.999939,-4.89702,0.114774,-5.26338,-4.46581,-4.97012,-4.90168,-4.8248
7,3584,0.999929,-4.89158,0.116516,-5.31929,-4.48593,-4.97036,-4.89474,-4.82142
8,4096,0.999919,-4.8866,0.114166,-5.25776,-4.53049,-4.9614,-4.89116,-4.81446
9,4608,0.999909,-4.8927,0.116176,-5.28045,-4.522,-4.96665,-4.89697,-4.81947
10,5120,0.999899,-4.88949,0.119368,-5.23029,-4.53417,-4.97014,-4.88937,-4.81472
11,5632,0.999888,-4.88964,0.11377,-5.35649,-4.51788,-4.96931,-4.89121,-4.81292
12,6144,0.999878,-4.88934,0.121151,-5.25092,-4.18917,-4.96774,-4.895,-4.81478
13,6656,0.999868,-4.8912,0.117887,-5.38767,-4.52119,-4.9582,-4.8974,-4.82186
14,7168,0.999858,-4.89188,0.114724,-5.17046,-4.5315,-4.9685,-4.90108,-4.82143
15,7680,0.999848,-4.89692,0.121438,-5.31711,-4.44672,-4.97426,-4.90636,-4.82421
16,8192,0.999838,-4.89378,0.116617,-5.26401,-4.50633,-4.96579,-4.90052,-4.8177
17,8704,0.999828,-4.88938,0.118556,-5.27289,-4.41472,-4.96587,-4.89658,-4.80819
18,9216,0.999818,-4.89474,0.113273,-5.4072,-4.60064,-4.96472,-4.89132,-4.81753
19,9728,0.999807,-4.88725,0.121087,-5.27123,-4.40034,-4.96376,-4.89251,-4.81835
20,10240,0.999797,-4.88867,0.121288,-5.2983,-4.41733,-4.97145,-4.89424,-4.81482
21,10752,0.999787,-4.8909,0.12717,-5.43282,-4.38771,-4.96791,-4.89655,-4.82215
22,11264,0.999777,-4.89373,0.114023,-5.16814,-4.43931,-4.97342,-4.90334,-4.83256
23,11776,0.999767,-4.8897,0.120624,-5.33905,-4.49925,-4.96935,-4.8993,-4.80729
24,12288,0.999757,-4.89956,0.114768,-5.52686,-4.48836,-4.97122,-4.90018,-4.83144
25,12800,0.999747,-4.8945,0.116877,-5.20295,-4.49297,-4.9742,-4.89256,-4.82288
26,13312,0.999736,-4.88932,0.114871,-5.20428,-4.47652,-4.96544,-4.89471,-4.82431
27,13824,0.999726,-4.89209,0.113878,-5.31929,-4.45656,-4.96984,-4.89323,-4.82348
28,14336,0.999716,-4.882,0.115495,-5.32418,-4.48017,-4.96057,-4.88059,-4.80825
29,14848,0.999706,-4.89635,0.111138,-5.26313,-4.3516,-4.96868,-4.90003,-4.82298
30,15360,0.999696,-4.88938,0.121229,-5.35609,-4.32819,-4.96534,-4.89285,-4.82166
31,15872,0.999686,-4.88709,0.124187,-5.3324,-4.32533,-4.96933,-4.89884,-4.80367
32,16384,0.999676,-4.90095,0.124121,-5.28266,-4.54405,-4.9763,-4.90082,-4.8292
33,16896,0.999665,-4.88974,0.11725,-5.37057,-4.48683,-4.96489,-4.89617,-4.82024
34,17408,0.999655,-4.89587,0.118021,-5.28755,-4.48613,-4.96973,-4.90094,-4.81973
35,17920,0.999645,-4.89091,0.121753,-5.29487,-4.45541,-4.96776,-4.89948,-4.81873
36,18432,0.999635,-4.89394,0.115876,-5.25824,-4.42503,-4.96966,-4.89477,-4.82334
37,18944,0.999625,-4.89558,0.107799,-5.15163,-4.42939,-4.96528,-4.90268,-4.82594
38,19456,0.999615,-4.8921,0.119266,-5.39358,-4.44943,-4.96821,-4.90138,-4.82438
39,19968,0.999605,-4.88881,0.118354,-5.34066,-4.47115,-4.96016,-4.89414,-4.81574
40,20480,0.999594,-4.89201,0.112348,-5.25092,-4.56826,-4.97093,-4.89142,-4.82132
41,20992,0.999584,-4.88313,0.115666,-5.30647,-4.32267,-4.95743,-4.88705,-4.81258
42,21504,0.999574,-4.87872,0.116829,-5.23475,-4.40988,-4.95182,-4.88266,-4.80541
43,22016,0.999564,-4.89284,0.114822,-5.27704,-4.50909,-4.9725,-4.90021,-4.81832
44,22528,0.999554,-4.8893,0.112773,-5.28259,-4.37003,-4.96728,-4.88851,-4.82409
45,23040,0.999544,-4.88883,0.115,-5.3022,-4.5683,-4.96624,-4.89283,-4.81664
